date,category,subcategory,amount,type,description,month,month_num,year
2024-03-06,Transport,Metro,260.23,expense,Metro payment,March,3,2024
2024-03-06,Entertainment,Events,1760.64,expense,Events payment,March,3,2024
2024-03-06,Shopping,Home Decor,4887.87,expense,Home Decor payment,March,3,2024
2024-03-07,Housing,Electricity,964.44,expense,Electricity payment,March,3,2024
2024-03-07,Transport,Metro,282.8,expense,Metro payment,March,3,2024
2024-03-08,Food,Restaurants,2313.31,expense,Restaurants payment,March,3,2024
2024-03-08,Food,Food Delivery,1125.65,expense,Food Delivery payment,March,3,2024
2024-03-08,Transport,Metro,289.84,expense,Metro payment,March,3,2024
2024-03-08,Investment,Stocks,7765.09,expense,Stocks payment,March,3,2024
2024-03-08,Investment,Mutual Funds,7689.23,expense,Mutual Funds payment,March,3,2024
2024-03-08,Investment,Crypto,1075.75,expense,Crypto payment,March,3,2024
2024-03-09,Food,Coffee,723.69,expense,Coffee payment,March,3,2024
2024-03-09,Transport,Car Maintenance,1121.37,expense,Car Maintenance payment,March,3,2024
2024-03-10,Shopping,Books,741.3,expense,Books payment,March,3,2024
2024-03-11,Food,Groceries,3327.13,expense,Groceries payment,March,3,2024
2024-03-11,Food,Coffee,353.87,expense,Coffee payment,March,3,2024
2024-03-11,Transport,Fuel,2218.62,expense,Fuel payment,March,3,2024
2024-03-11,Transport,Uber,361.65,expense,Uber payment,March,3,2024
2024-03-11,Transport,Metro,473.21,expense,Metro payment,March,3,2024
2024-03-11,Entertainment,Movies,607.84,expense,Movies payment,March,3,2024
2024-03-11,Shopping,Electronics,7372.92,expense,Electronics payment,March,3,2024
2024-03-11,Shopping,Books,816.61,expense,Books payment,March,3,2024
2024-03-11,Investment,Stocks,6852.47,expense,Stocks payment,March,3,2024
2024-03-12,Food,Restaurants,2114.74,expense,Restaurants payment,March,3,2024
2024-03-12,Food,Food Delivery,1389.52,expense,Food Delivery payment,March,3,2024
2024-03-12,Transport,Metro,329.65,expense,Metro payment,March,3,2024
2024-03-13,Income,Freelance,13519.43,income,Freelance payment,March,3,2024
2024-03-13,Income,Dividends,2957.48,income,Dividends payment,March,3,2024
2024-03-13,Food,Coffee,525.98,expense,Coffee payment,March,3,2024
2024-03-13,Transport,Metro,475.42,expense,Metro payment,March,3,2024
2024-03-13,Entertainment,Events,906.24,expense,Events payment,March,3,2024
2024-03-14,Income,Dividends,2173.14,income,Dividends payment,March,3,2024
2024-03-14,Housing,Maintenance,1309.0,expense,Maintenance payment,March,3,2024
2024-03-14,Transport,Metro,204.31,expense,Metro payment,March,3,2024
2024-03-14,Health,Doctor,2134.21,expense,Doctor payment,March,3,2024
2024-03-14,Shopping,Electronics,3536.92,expense,Electronics payment,March,3,2024
2024-03-14,Savings,Emergency Fund,4748.39,expense,Emergency Fund payment,March,3,2024
2024-03-15,Housing,Maintenance,882.96,expense,Maintenance payment,March,3,2024
2024-03-15,Food,Restaurants,2369.34,expense,Restaurants payment,March,3,2024
2024-03-15,Food,Food Delivery,1026.89,expense,Food Delivery payment,March,3,2024
2024-03-15,Transport,Metro,319.69,expense,Metro payment,March,3,2024
2024-03-15,Shopping,Electronics,7807.72,expense,Electronics payment,March,3,2024
2024-03-15,Shopping,Books,651.33,expense,Books payment,March,3,2024
2024-03-15,Investment,Stocks,6833.54,expense,Stocks payment,March,3,2024
2024-03-15,Investment,Gold,2312.47,expense,Gold payment,March,3,2024
2024-03-16,Income,Freelance,8081.02,income,Freelance payment,March,3,2024
2024-03-16,Housing,Electricity,1412.45,expense,Electricity payment,March,3,2024
2024-03-16,Food,Coffee,472.06,expense,Coffee payment,March,3,2024
2024-03-16,Transport,Metro,282.72,expense,Metro payment,March,3,2024
2024-03-16,Transport,Car Maintenance,2580.7,expense,Car Maintenance payment,March,3,2024
2024-03-16,Shopping,Electronics,6478.88,expense,Electronics payment,March,3,2024
2024-03-16,Shopping,Home Decor,4973.56,expense,Home Decor payment,March,3,2024
2024-03-16,Investment,Stocks,9536.43,expense,Stocks payment,March,3,2024
2024-03-16,Investment,Mutual Funds,4453.2,expense,Mutual Funds payment,March,3,2024
2024-03-17,Investment,Crypto,1090.94,expense,Crypto payment,March,3,2024
2024-03-18,Food,Groceries,3038.48,expense,Groceries payment,March,3,2024
2024-03-18,Food,Coffee,365.39,expense,Coffee payment,March,3,2024
2024-03-18,Transport,Fuel,2906.12,expense,Fuel payment,March,3,2024
2024-03-18,Transport,Uber,780.02,expense,Uber payment,March,3,2024
2024-03-18,Transport,Metro,423.79,expense,Metro payment,March,3,2024
2024-03-18,Entertainment,Events,1015.2,expense,Events payment,March,3,2024
2024-03-18,Health,Medicine,260.44,expense,Medicine payment,March,3,2024
2024-03-18,Shopping,Electronics,11627.03,expense,Electronics payment,March,3,2024
2024-03-18,Investment,Crypto,3015.58,expense,Crypto payment,March,3,2024
2024-03-19,Food,Restaurants,1301.66,expense,Restaurants payment,March,3,2024
2024-03-19,Food,Food Delivery,662.12,expense,Food Delivery payment,March,3,2024
2024-03-19,Transport,Metro,364.08,expense,Metro payment,March,3,2024
2024-03-19,Entertainment,Gaming,1907.34,expense,Gaming payment,March,3,2024
2024-03-19,Savings,Emergency Fund,3129.38,expense,Emergency Fund payment,March,3,2024
2024-03-20,Food,Coffee,624.55,expense,Coffee payment,March,3,2024
2024-03-20,Health,Medicine,637.15,expense,Medicine payment,March,3,2024
2024-03-20,Shopping,Books,779.67,expense,Books payment,March,3,2024
2024-03-21,Transport,Metro,447.79,expense,Metro payment,March,3,2024
2024-03-21,Entertainment,Gaming,1886.89,expense,Gaming payment,March,3,2024
2024-03-21,Health,Medicine,1999.23,expense,Medicine payment,March,3,2024
2024-03-22,Housing,Maintenance,2953.3,expense,Maintenance payment,March,3,2024
2024-03-22,Food,Restaurants,1673.73,expense,Restaurants payment,March,3,2024
2024-03-22,Food,Food Delivery,1307.68,expense,Food Delivery payment,March,3,2024
2024-03-22,Health,Medicine,669.39,expense,Medicine payment,March,3,2024
2024-03-23,Food,Coffee,494.36,expense,Coffee payment,March,3,2024
2024-03-23,Transport,Metro,417.99,expense,Metro payment,March,3,2024
2024-03-23,Shopping,Clothing,1135.3,expense,Clothing payment,March,3,2024
2024-03-24,Income,Freelance,12585.99,income,Freelance payment,March,3,2024
2024-03-24,Entertainment,Gaming,1192.96,expense,Gaming payment,March,3,2024
2024-03-24,Entertainment,Events,1823.54,expense,Events payment,March,3,2024
2024-03-24,Shopping,Clothing,4252.63,expense,Clothing payment,March,3,2024
2024-03-24,Investment,Stocks,3674.2,expense,Stocks payment,March,3,2024
2024-03-24,Investment,Mutual Funds,3151.59,expense,Mutual Funds payment,March,3,2024
2024-03-25,Food,Groceries,4970.7,expense,Groceries payment,March,3,2024
2024-03-25,Food,Coffee,335.51,expense,Coffee payment,March,3,2024
2024-03-25,Transport,Fuel,2526.06,expense,Fuel payment,March,3,2024
2024-03-25,Transport,Uber,878.29,expense,Uber payment,March,3,2024
2024-03-25,Entertainment,Gaming,882.68,expense,Gaming payment,March,3,2024
2024-03-25,Health,Medicine,217.01,expense,Medicine payment,March,3,2024
2024-03-25,Investment,Mutual Funds,5168.96,expense,Mutual Funds payment,March,3,2024
2024-03-25,Investment,Crypto,1845.67,expense,Crypto payment,March,3,2024
2024-03-26,Income,Dividends,685.87,income,Dividends payment,March,3,2024
2024-03-26,Food,Restaurants,1908.77,expense,Restaurants payment,March,3,2024
2024-03-26,Food,Food Delivery,339.48,expense,Food Delivery payment,March,3,2024
2024-03-26,Shopping,Clothing,1649.8,expense,Clothing payment,March,3,2024
2024-03-26,Investment,Gold,4953.91,expense,Gold payment,March,3,2024
2024-03-27,Housing,Electricity,1324.51,expense,Electricity payment,March,3,2024
2024-03-27,Food,Coffee,404.36,expense,Coffee payment,March,3,2024
2024-03-27,Entertainment,Events,1183.32,expense,Events payment,March,3,2024
2024-03-27,Investment,Mutual Funds,5711.7,expense,Mutual Funds payment,March,3,2024
2024-03-27,Savings,Emergency Fund,2462.66,expense,Emergency Fund payment,March,3,2024
2024-03-28,Transport,Metro,102.08,expense,Metro payment,March,3,2024
2024-03-28,Entertainment,Events,968.48,expense,Events payment,March,3,2024
2024-03-28,Shopping,Electronics,6600.89,expense,Electronics payment,March,3,2024
2024-03-28,Shopping,Home Decor,3191.2,expense,Home Decor payment,March,3,2024
2024-03-28,Investment,Gold,4604.54,expense,Gold payment,March,3,2024
2024-03-29,Food,Restaurants,847.1,expense,Restaurants payment,March,3,2024
2024-03-29,Food,Food Delivery,661.36,expense,Food Delivery payment,March,3,2024
2024-03-29,Transport,Metro,125.31,expense,Metro payment,March,3,2024
2024-03-29,Entertainment,Events,1129.25,expense,Events payment,March,3,2024
2024-03-29,Shopping,Home Decor,1870.96,expense,Home Decor payment,March,3,2024
2024-03-30,Housing,Maintenance,1301.66,expense,Maintenance payment,March,3,2024
2024-03-30,Food,Coffee,768.37,expense,Coffee payment,March,3,2024
2024-03-30,Transport,Metro,225.67,expense,Metro payment,March,3,2024
2024-03-30,Investment,Stocks,6946.95,expense,Stocks payment,March,3,2024
2024-03-31,Transport,Metro,377.13,expense,Metro payment,March,3,2024
2024-03-31,Shopping,Books,992.56,expense,Books payment,March,3,2024
2024-04-01,Income,Salary,60436.45,income,Salary payment,April,4,2024
2024-04-01,Housing,Rent,15000.0,expense,Rent payment,April,4,2024
2024-04-01,Housing,Internet,699.0,expense,Internet payment,April,4,2024
2024-04-01,Housing,Maintenance,2422.39,expense,Maintenance payment,April,4,2024
2024-04-01,Food,Groceries,3972.8,expense,Groceries payment,April,4,2024
2024-04-01,Food,Coffee,413.01,expense,Coffee payment,April,4,2024
2024-04-01,Transport,Fuel,2470.5,expense,Fuel payment,April,4,2024
2024-04-01,Transport,Uber,235.44,expense,Uber payment,April,4,2024
2024-04-01,Entertainment,OTT Subscriptions,899.62,expense,OTT Subscriptions payment,April,4,2024
2024-04-01,Health,Gym,1510.55,expense,Gym payment,April,4,2024
2024-04-01,Health,Insurance,3556.39,expense,Insurance payment,April,4,2024
2024-04-01,Savings,Emergency Fund,2313.65,expense,Emergency Fund payment,April,4,2024
2024-04-01,Savings,Fixed Deposit,11239.63,expense,Fixed Deposit payment,April,4,2024
2024-04-02,Income,Salary,64617.28,income,Salary payment,April,4,2024
2024-04-02,Income,Freelance,19110.14,income,Freelance payment,April,4,2024
2024-04-02,Income,Dividends,1279.73,income,Dividends payment,April,4,2024
2024-04-02,Housing,Rent,15000.0,expense,Rent payment,April,4,2024
2024-04-02,Housing,Internet,699.0,expense,Internet payment,April,4,2024
2024-04-02,Food,Restaurants,1595.41,expense,Restaurants payment,April,4,2024
2024-04-02,Food,Food Delivery,1136.12,expense,Food Delivery payment,April,4,2024
2024-04-02,Transport,Metro,220.11,expense,Metro payment,April,4,2024
2024-04-02,Entertainment,OTT Subscriptions,615.09,expense,OTT Subscriptions payment,April,4,2024
2024-04-02,Health,Gym,1664.35,expense,Gym payment,April,4,2024
2024-04-02,Health,Insurance,2523.36,expense,Insurance payment,April,4,2024
2024-04-02,Savings,Emergency Fund,3842.32,expense,Emergency Fund payment,April,4,2024
2024-04-02,Savings,Fixed Deposit,7959.87,expense,Fixed Deposit payment,April,4,2024
2024-04-03,Income,Salary,60922.03,income,Salary payment,April,4,2024
2024-04-03,Housing,Rent,15000.0,expense,Rent payment,April,4,2024
2024-04-03,Housing,Internet,699.0,expense,Internet payment,April,4,2024
2024-04-03,Housing,Maintenance,754.38,expense,Maintenance payment,April,4,2024
2024-04-03,Food,Coffee,723.19,expense,Coffee payment,April,4,2024
2024-04-03,Transport,Metro,230.39,expense,Metro payment,April,4,2024
2024-04-03,Entertainment,OTT Subscriptions,762.35,expense,OTT Subscriptions payment,April,4,2024
2024-04-03,Health,Gym,2096.97,expense,Gym payment,April,4,2024
2024-04-03,Investment,Gold,1535.79,expense,Gold payment,April,4,2024
2024-04-03,Savings,Emergency Fund,2916.14,expense,Emergency Fund payment,April,4,2024
2024-04-04,Transport,Metro,253.48,expense,Metro payment,April,4,2024
2024-04-04,Shopping,Electronics,6089.54,expense,Electronics payment,April,4,2024
2024-04-04,Shopping,Books,487.23,expense,Books payment,April,4,2024
2024-04-04,Investment,Stocks,3955.74,expense,Stocks payment,April,4,2024
2024-04-05,Food,Restaurants,706.68,expense,Restaurants payment,April,4,2024
2024-04-05,Food,Food Delivery,337.03,expense,Food Delivery payment,April,4,2024
2024-04-05,Shopping,Home Decor,1013.93,expense,Home Decor payment,April,4,2024
2024-04-05,Investment,Gold,3875.92,expense,Gold payment,April,4,2024
2024-04-06,Income,Dividends,2575.18,income,Dividends payment,April,4,2024
2024-04-06,Food,Coffee,799.59,expense,Coffee payment,April,4,2024
2024-04-06,Transport,Metro,239.43,expense,Metro payment,April,4,2024
2024-04-06,Investment,Mutual Funds,3239.72,expense,Mutual Funds payment,April,4,2024
2024-04-06,Investment,Gold,2403.26,expense,Gold payment,April,4,2024
2024-04-07,Transport,Metro,443.21,expense,Metro payment,April,4,2024
2024-04-07,Entertainment,Gaming,1932.99,expense,Gaming payment,April,4,2024
2024-04-07,Shopping,Electronics,13259.02,expense,Electronics payment,April,4,2024
2024-04-08,Food,Groceries,4640.38,expense,Groceries payment,April,4,2024
2024-04-08,Food,Coffee,255.86,expense,Coffee payment,April,4,2024
2024-04-08,Transport,Fuel,2273.42,expense,Fuel payment,April,4,2024
2024-04-08,Transport,Uber,422.58,expense,Uber payment,April,4,2024
2024-04-08,Entertainment,Events,2435.34,expense,Events payment,April,4,2024
2024-04-08,Shopping,Books,627.54,expense,Books payment,April,4,2024
2024-04-09,Food,Restaurants,1359.35,expense,Restaurants payment,April,4,2024
2024-04-09,Food,Food Delivery,1119.06,expense,Food Delivery payment,April,4,2024
2024-04-09,Transport,Metro,139.83,expense,Metro payment,April,4,2024
2024-04-09,Entertainment,Gaming,1743.77,expense,Gaming payment,April,4,2024
2024-04-09,Health,Medicine,1924.46,expense,Medicine payment,April,4,2024
2024-04-09,Shopping,Electronics,10449.96,expense,Electronics payment,April,4,2024
2024-04-10,Food,Coffee,340.49,expense,Coffee payment,April,4,2024
2024-04-10,Entertainment,Movies,538.4,expense,Movies payment,April,4,2024
2024-04-10,Entertainment,Gaming,607.14,expense,Gaming payment,April,4,2024
2024-04-10,Health,Medicine,1452.07,expense,Medicine payment,April,4,2024
2024-04-10,Shopping,Home Decor,818.73,expense,Home Decor payment,April,4,2024
2024-04-10,Investment,Mutual Funds,3880.11,expense,Mutual Funds payment,April,4,2024
2024-04-10,Investment,Gold,4093.84,expense,Gold payment,April,4,2024
2024-04-11,Income,Freelance,19894.1,income,Freelance payment,April,4,2024
2024-04-11,Income,Dividends,1826.27,income,Dividends payment,April,4,2024
2024-04-11,Housing,Electricity,1580.02,expense,Electricity payment,April,4,2024
2024-04-11,Health,Doctor,751.16,expense,Doctor payment,April,4,2024
2024-04-11,Investment,Mutual Funds,3661.81,expense,Mutual Funds payment,April,4,2024
2024-04-11,Investment,Crypto,3213.59,expense,Crypto payment,April,4,2024
2024-04-12,Food,Restaurants,1254.12,expense,Restaurants payment,April,4,2024
2024-04-12,Food,Food Delivery,921.3,expense,Food Delivery payment,April,4,2024
2024-04-12,Transport,Metro,399.14,expense,Metro payment,April,4,2024
2024-04-12,Entertainment,Movies,748.96,expense,Movies payment,April,4,2024
2024-04-12,Health,Medicine,1099.25,expense,Medicine payment,April,4,2024
2024-04-12,Investment,Stocks,9025.7,expense,Stocks payment,April,4,2024
2024-04-13,Housing,Electricity,881.04,expense,Electricity payment,April,4,2024
2024-04-13,Food,Coffee,223.9,expense,Coffee payment,April,4,2024
2024-04-13,Transport,Metro,415.72,expense,Metro payment,April,4,2024
2024-04-13,Health,Doctor,1841.41,expense,Doctor payment,April,4,2024
2024-04-14,Housing,Electricity,1638.41,expense,Electricity payment,April,4,2024
2024-04-14,Transport,Car Maintenance,887.96,expense,Car Maintenance payment,April,4,2024
2024-04-14,Shopping,Electronics,11202.71,expense,Electronics payment,April,4,2024
2024-04-15,Income,Freelance,16716.86,income,Freelance payment,April,4,2024
2024-04-15,Food,Groceries,2088.07,expense,Groceries payment,April,4,2024
2024-04-15,Food,Coffee,684.26,expense,Coffee payment,April,4,2024
2024-04-15,Transport,Fuel,1907.97,expense,Fuel payment,April,4,2024
2024-04-15,Transport,Uber,251.1,expense,Uber payment,April,4,2024
2024-04-15,Entertainment,Movies,527.6,expense,Movies payment,April,4,2024
2024-04-15,Shopping,Electronics,9460.86,expense,Electronics payment,April,4,2024
2024-04-15,Investment,Mutual Funds,7177.57,expense,Mutual Funds payment,April,4,2024
2024-04-16,Food,Restaurants,2784.87,expense,Restaurants payment,April,4,2024
2024-04-16,Food,Food Delivery,1188.8,expense,Food Delivery payment,April,4,2024
2024-04-16,Transport,Metro,228.72,expense,Metro payment,April,4,2024
2024-04-16,Entertainment,Events,1432.02,expense,Events payment,April,4,2024
2024-04-16,Investment,Stocks,6255.66,expense,Stocks payment,April,4,2024
2024-04-17,Income,Freelance,8010.07,income,Freelance payment,April,4,2024
2024-04-17,Food,Coffee,478.36,expense,Coffee payment,April,4,2024
2024-04-17,Transport,Metro,297.34,expense,Metro payment,April,4,2024
2024-04-17,Health,Doctor,1525.09,expense,Doctor payment,April,4,2024
2024-04-17,Investment,Mutual Funds,5943.82,expense,Mutual Funds payment,April,4,2024
2024-04-17,Savings,Emergency Fund,3589.44,expense,Emergency Fund payment,April,4,2024
2024-04-18,Housing,Electricity,1996.35,expense,Electricity payment,April,4,2024
2024-04-18,Transport,Metro,468.51,expense,Metro payment,April,4,2024
2024-04-18,Health,Doctor,738.94,expense,Doctor payment,April,4,2024
2024-04-18,Shopping,Clothing,4279.85,expense,Clothing payment,April,4,2024
2024-04-18,Shopping,Electronics,9381.67,expense,Electronics payment,April,4,2024
2024-04-19,Housing,Maintenance,1006.78,expense,Maintenance payment,April,4,2024
2024-04-19,Food,Restaurants,2449.84,expense,Restaurants payment,April,4,2024
2024-04-19,Food,Food Delivery,1001.65,expense,Food Delivery payment,April,4,2024
2024-04-19,Transport,Metro,165.75,expense,Metro payment,April,4,2024
2024-04-19,Shopping,Electronics,4049.0,expense,Electronics payment,April,4,2024
2024-04-19,Investment,Mutual Funds,7015.55,expense,Mutual Funds payment,April,4,2024
2024-04-19,Investment,Gold,1992.88,expense,Gold payment,April,4,2024
2024-04-20,Food,Coffee,218.65,expense,Coffee payment,April,4,2024
2024-04-20,Transport,Metro,280.88,expense,Metro payment,April,4,2024
2024-04-20,Health,Medicine,221.52,expense,Medicine payment,April,4,2024
2024-04-20,Shopping,Electronics,12707.75,expense,Electronics payment,April,4,2024
2024-04-20,Savings,Emergency Fund,2193.42,expense,Emergency Fund payment,April,4,2024
2024-04-21,Housing,Electricity,1886.09,expense,Electricity payment,April,4,2024
2024-04-21,Transport,Metro,117.08,expense,Metro payment,April,4,2024
2024-04-21,Health,Doctor,2208.03,expense,Doctor payment,April,4,2024
2024-04-21,Investment,Mutual Funds,5715.06,expense,Mutual Funds payment,April,4,2024
2024-04-22,Income,Dividends,1199.44,income,Dividends payment,April,4,2024
2024-04-22,Housing,Electricity,1039.35,expense,Electricity payment,April,4,2024
2024-04-22,Food,Groceries,3577.44,expense,Groceries payment,April,4,2024
2024-04-22,Food,Coffee,578.45,expense,Coffee payment,April,4,2024
2024-04-22,Transport,Fuel,2703.25,expense,Fuel payment,April,4,2024
2024-04-22,Transport,Uber,835.88,expense,Uber payment,April,4,2024
2024-04-22,Investment,Crypto,4966.13,expense,Crypto payment,April,4,2024
2024-04-23,Housing,Electricity,1588.24,expense,Electricity payment,April,4,2024
2024-04-23,Food,Restaurants,2540.71,expense,Restaurants payment,April,4,2024
2024-04-23,Food,Food Delivery,1400.71,expense,Food Delivery payment,April,4,2024
2024-04-23,Transport,Metro,498.56,expense,Metro payment,April,4,2024
2024-04-23,Investment,Mutual Funds,6203.36,expense,Mutual Funds payment,April,4,2024
2024-04-24,Food,Coffee,385.43,expense,Coffee payment,April,4,2024
2024-04-24,Transport,Metro,136.1,expense,Metro payment,April,4,2024
2024-04-24,Entertainment,Events,2794.74,expense,Events payment,April,4,2024
2024-04-24,Health,Doctor,2292.34,expense,Doctor payment,April,4,2024
2024-04-24,Shopping,Books,669.29,expense,Books payment,April,4,2024
2024-04-25,Housing,Maintenance,1254.41,expense,Maintenance payment,April,4,2024
2024-04-25,Transport,Metro,163.0,expense,Metro payment,April,4,2024
2024-04-25,Savings,Emergency Fund,4186.49,expense,Emergency Fund payment,April,4,2024
2024-04-26,Food,Restaurants,2912.96,expense,Restaurants payment,April,4,2024
2024-04-26,Food,Food Delivery,338.86,expense,Food Delivery payment,April,4,2024
2024-04-26,Health,Doctor,2363.36,expense,Doctor payment,April,4,2024
2024-04-26,Investment,Stocks,7962.76,expense,Stocks payment,April,4,2024
2024-04-27,Income,Dividends,1141.64,income,Dividends payment,April,4,2024
2024-04-27,Housing,Electricity,801.54,expense,Electricity payment,April,4,2024
2024-04-27,Food,Coffee,639.55,expense,Coffee payment,April,4,2024
2024-04-27,Health,Medicine,1063.08,expense,Medicine payment,April,4,2024
2024-04-27,Shopping,Books,876.61,expense,Books payment,April,4,2024
2024-04-27,Investment,Gold,1680.42,expense,Gold payment,April,4,2024
2024-04-28,Housing,Maintenance,1985.08,expense,Maintenance payment,April,4,2024
2024-04-28,Entertainment,Movies,771.22,expense,Movies payment,April,4,2024
2024-04-28,Health,Doctor,1013.88,expense,Doctor payment,April,4,2024
2024-04-28,Investment,Gold,3287.08,expense,Gold payment,April,4,2024
2024-04-29,Food,Groceries,3986.06,expense,Groceries payment,April,4,2024
2024-04-29,Food,Coffee,560.13,expense,Coffee payment,April,4,2024
2024-04-29,Transport,Fuel,1799.51,expense,Fuel payment,April,4,2024
2024-04-29,Transport,Uber,220.59,expense,Uber payment,April,4,2024
2024-04-29,Transport,Metro,216.72,expense,Metro payment,April,4,2024
2024-04-29,Transport,Car Maintenance,4296.96,expense,Car Maintenance payment,April,4,2024
2024-04-29,Health,Doctor,1860.32,expense,Doctor payment,April,4,2024
2024-04-29,Savings,Emergency Fund,4256.71,expense,Emergency Fund payment,April,4,2024
2024-04-30,Income,Dividends,1359.48,income,Dividends payment,April,4,2024
2024-04-30,Food,Restaurants,1974.32,expense,Restaurants payment,April,4,2024
2024-04-30,Food,Food Delivery,964.32,expense,Food Delivery payment,April,4,2024
2024-04-30,Shopping,Electronics,13736.1,expense,Electronics payment,April,4,2024
2024-04-30,Savings,Emergency Fund,4271.57,expense,Emergency Fund payment,April,4,2024
2024-05-01,Income,Salary,56728.79,income,Salary payment,May,5,2024
2024-05-01,Housing,Rent,15000.0,expense,Rent payment,May,5,2024
2024-05-01,Housing,Electricity,1308.05,expense,Electricity payment,May,5,2024
2024-05-01,Housing,Internet,699.0,expense,Internet payment,May,5,2024
2024-05-01,Food,Coffee,798.36,expense,Coffee payment,May,5,2024
2024-05-01,Entertainment,OTT Subscriptions,757.89,expense,OTT Subscriptions payment,May,5,2024
2024-05-01,Entertainment,Events,1470.25,expense,Events payment,May,5,2024
2024-05-01,Health,Gym,1897.35,expense,Gym payment,May,5,2024
2024-05-01,Investment,Gold,3351.74,expense,Gold payment,May,5,2024
2024-05-02,Income,Salary,64396.5,income,Salary payment,May,5,2024
2024-05-02,Housing,Rent,15000.0,expense,Rent payment,May,5,2024
2024-05-02,Housing,Internet,699.0,expense,Internet payment,May,5,2024
2024-05-02,Transport,Metro,253.22,expense,Metro payment,May,5,2024
2024-05-02,Entertainment,OTT Subscriptions,1108.96,expense,OTT Subscriptions payment,May,5,2024
2024-05-02,Entertainment,Movies,437.71,expense,Movies payment,May,5,2024
2024-05-02,Entertainment,Gaming,1295.58,expense,Gaming payment,May,5,2024
2024-05-02,Health,Gym,1538.78,expense,Gym payment,May,5,2024
2024-05-02,Investment,Stocks,8721.7,expense,Stocks payment,May,5,2024
2024-05-03,Income,Salary,55982.17,income,Salary payment,May,5,2024
2024-05-03,Income,Dividends,2935.55,income,Dividends payment,May,5,2024
2024-05-03,Housing,Rent,15000.0,expense,Rent payment,May,5,2024
2024-05-03,Housing,Internet,699.0,expense,Internet payment,May,5,2024
2024-05-03,Food,Restaurants,2113.89,expense,Restaurants payment,May,5,2024
2024-05-03,Food,Food Delivery,525.52,expense,Food Delivery payment,May,5,2024
2024-05-03,Transport,Metro,429.59,expense,Metro payment,May,5,2024
2024-05-03,Entertainment,OTT Subscriptions,1259.49,expense,OTT Subscriptions payment,May,5,2024
2024-05-03,Health,Gym,1658.97,expense,Gym payment,May,5,2024
2024-05-03,Shopping,Clothing,4405.18,expense,Clothing payment,May,5,2024
2024-05-03,Shopping,Home Decor,1367.44,expense,Home Decor payment,May,5,2024
2024-05-04,Food,Coffee,274.32,expense,Coffee payment,May,5,2024
2024-05-04,Transport,Metro,248.99,expense,Metro payment,May,5,2024
2024-05-05,Transport,Metro,412.12,expense,Metro payment,May,5,2024
2024-05-05,Entertainment,Movies,755.76,expense,Movies payment,May,5,2024
2024-05-05,Health,Medicine,654.3,expense,Medicine payment,May,5,2024
2024-05-06,Housing,Electricity,1413.82,expense,Electricity payment,May,5,2024
2024-05-06,Food,Groceries,4529.85,expense,Groceries payment,May,5,2024
2024-05-06,Food,Coffee,424.54,expense,Coffee payment,May,5,2024
2024-05-06,Transport,Fuel,2471.01,expense,Fuel payment,May,5,2024
2024-05-06,Transport,Uber,687.24,expense,Uber payment,May,5,2024
2024-05-06,Transport,Metro,143.24,expense,Metro payment,May,5,2024
2024-05-06,Transport,Car Maintenance,4947.62,expense,Car Maintenance payment,May,5,2024
2024-05-06,Shopping,Electronics,11951.17,expense,Electronics payment,May,5,2024
2024-05-07,Food,Restaurants,1470.69,expense,Restaurants payment,May,5,2024
2024-05-07,Food,Food Delivery,342.38,expense,Food Delivery payment,May,5,2024
2024-05-07,Investment,Gold,1511.78,expense,Gold payment,May,5,2024
2024-05-08,Food,Coffee,401.38,expense,Coffee payment,May,5,2024
2024-05-08,Transport,Metro,242.11,expense,Metro payment,May,5,2024
2024-05-08,Investment,Mutual Funds,7336.56,expense,Mutual Funds payment,May,5,2024
2024-05-09,Income,Dividends,2635.6,income,Dividends payment,May,5,2024
2024-05-09,Housing,Electricity,1040.36,expense,Electricity payment,May,5,2024
2024-05-09,Transport,Metro,462.65,expense,Metro payment,May,5,2024
2024-05-09,Shopping,Home Decor,1730.88,expense,Home Decor payment,May,5,2024
2024-05-09,Savings,Emergency Fund,3843.44,expense,Emergency Fund payment,May,5,2024
2024-05-10,Food,Restaurants,594.31,expense,Restaurants payment,May,5,2024
2024-05-10,Food,Food Delivery,539.3,expense,Food Delivery payment,May,5,2024
2024-05-10,Transport,Metro,105.63,expense,Metro payment,May,5,2024
2024-05-10,Shopping,Home Decor,2225.98,expense,Home Decor payment,May,5,2024
2024-05-11,Food,Coffee,405.64,expense,Coffee payment,May,5,2024
2024-05-11,Shopping,Electronics,11543.0,expense,Electronics payment,May,5,2024
2024-05-11,Investment,Crypto,4506.18,expense,Crypto payment,May,5,2024
2024-05-12,Income,Freelance,19920.2,income,Freelance payment,May,5,2024
2024-05-12,Housing,Maintenance,2224.37,expense,Maintenance payment,May,5,2024
2024-05-12,Transport,Metro,252.1,expense,Metro payment,May,5,2024
2024-05-12,Investment,Stocks,8814.57,expense,Stocks payment,May,5,2024
2024-05-12,Investment,Mutual Funds,6312.6,expense,Mutual Funds payment,May,5,2024
2024-05-12,Investment,Crypto,1456.05,expense,Crypto payment,May,5,2024
2024-05-12,Investment,Gold,1794.59,expense,Gold payment,May,5,2024
2024-05-13,Food,Groceries,2886.05,expense,Groceries payment,May,5,2024
2024-05-13,Food,Coffee,223.64,expense,Coffee payment,May,5,2024
2024-05-13,Transport,Fuel,2244.53,expense,Fuel payment,May,5,2024
